time,angle_cmd,angle_meas,q_cmd,q_meas,elavator
12.5535,-0.0455203,-0.043541,-0.00989687,-0.010205,-0.0175264
12.5555,-0.0451373,-0.0435614,-0.00787962,-0.0101916,-0.00748396
12.5575,-0.0459248,-0.0435816,-0.0117163,-0.0101081,-0.0271011
12.5595,-0.0468124,-0.0436019,-0.0160523,-0.0101631,-0.0485651
12.5615,-0.0454628,-0.0436226,-0.00920104,-0.0103675,-0.013275
12.5635,-0.0448814,-0.0436433,-0.00619037,-0.0103222,0.00159316
12.5655,-0.0462502,-0.0436636,-0.0129327,-0.0101734,-0.0328902
12.5675,-0.0460983,-0.0436842,-0.0120705,-0.010268,-0.0281243
12.5695,-0.0449272,-0.0437048,-0.00611192,-0.010328,0.00201081
12.5715,-0.0461292,-0.0437252,-0.0120201,-0.0101762,-0.0283074
12.5735,-0.0454629,-0.0437457,-0.00858648,-0.0102387,-0.0108105
12.5755,-0.0459109,-0.043766,-0.0107244,-0.0101778,-0.0218096
12.5775,-0.0451191,-0.0437864,-0.00666352,-0.0101948,-0.00138524
12.5795,-0.0455335,-0.0438065,-0.00863504,-0.0100686,-0.0118597
12.5815,-0.0462196,-0.0438266,-0.0119654,-0.0100173,-0.0287871
12.5835,-0.0454675,-0.0438467,-0.00810357,-0.0100853,-0.00911841
12.5855,-0.0450648,-0.0438668,-0.00599004,-0.0100146,0.00113625
12.5875,-0.045578,-0.0438865,-0.00845751,-0.00987315,-0.0118943
12.5895,-0.0453328,-0.0439062,-0.0071333,-0.00982476,-0.00548826
12.5915,-0.0466286,-0.0439256,-0.0135148,-0.00973219,-0.0378964
12.5935,-0.0443042,-0.0439454,-0.00179401,-0.0098677,0.0214658
12.5955,-0.0464257,-0.0439645,-0.0123058,-0.00958587,-0.0325293
12.5975,-0.0466398,-0.0439839,-0.0132797,-0.00968576,-0.0369354
12.5995,-0.0461281,-0.0440035,-0.0106229,-0.00981517,-0.0230123
12.6015,-0.0461539,-0.0440232,-0.0106535,-0.00984538,-0.0230226
12.6035,-0.0463438,-0.044043,-0.0115042,-0.00987527,-0.0271431
12.6055,-0.0455195,-0.0440628,-0.00728343,-0.0099336,-0.0057209
12.6075,-0.0464779,-0.0440825,-0.0119767,-0.0098412,-0.0296707
12.6095,-0.0459651,-0.0441024,-0.00931354,-0.00991768,-0.0159664
12.6115,-0.046595,-0.0441222,-0.0123643,-0.00989721,-0.0313472
12.6135,-0.0464709,-0.0441421,-0.011644,-0.00998468,-0.0273248
12.6155,-0.0461418,-0.0441622,-0.00989797,-0.0100428,-0.0183026
12.6175,-0.0458458,-0.0441823,-0.00831746,-0.010037,-0.0104118
12.6195,-0.0469275,-0.0442022,-0.0136264,-0.00997609,-0.0372977
12.6215,-0.0462052,-0.0442225,-0.00991371,-0.0101042,-0.018092
12.6235,-0.0473567,-0.0442426,-0.0155704,-0.0100961,-0.0464708
12.6255,-0.0464082,-0.0442632,-0.0107247,-0.0102868,-0.021293
12.6274,-0.0460008,-0.0442838,-0.00858471,-0.0102987,-0.0105165
12.6294,-0.0465438,-0.0443043,-0.0111976,-0.010235,-0.0239094
12.6314,-0.0464966,-0.0443248,-0.010859,-0.0102659,-0.0220676
12.6334,-0.0456599,-0.0443454,-0.00657251,-0.0102835,-0.000510035
12.6354,-0.0474799,-0.0443657,-0.015571,-0.0101499,-0.0462245
12.6374,-0.046356,-0.0443864,-0.00984795,-0.0103381,-0.0166631
12.6394,-0.0468141,-0.044407,-0.0120356,-0.0103169,-0.0277244
12.6414,-0.0463193,-0.0444277,-0.00945792,-0.0103735,-0.0145444
12.6434,-0.046197,-0.0444484,-0.00874287,-0.010337,-0.0111357
12.6454,-0.0469233,-0.044469,-0.0122715,-0.0102771,-0.0290981
12.6474,-0.0467922,-0.0444897,-0.0115128,-0.0103437,-0.024983
12.6494,-0.0459641,-0.0445104,-0.00726828,-0.0103807,-0.00354455
12.6514,-0.0462897,-0.044531,-0.00879364,-0.0102671,-0.0117246
12.6534,-0.0467893,-0.0445514,-0.0111895,-0.0102123,-0.0239879
12.6554,-0.0459673,-0.0445719,-0.00697717,-0.010244,-0.0027347
12.6574,-0.0461053,-0.0445921,-0.00756565,-0.0101266,-0.00623873
12.6594,-0.0462686,-0.0446122,-0.00828201,-0.0100352,-0.0102597
12.6614,-0.0462754,-0.0446321,-0.00821618,-0.00997326,-0.0102229
12.6634,-0.0480166,-0.044652,-0.0168232,-0.00991184,-0.053634
12.6654,-0.0449249,-0.0446723,-0.00126313,-0.0101551,0.0254714
12.6674,-0.0462712,-0.044692,-0.00789624,-0.00984142,-0.00924314
12.6694,-0.0464851,-0.0447115,-0.00886815,-0.0097749,-0.0144262
12.6714,-0.0467788,-0.044731,-0.0102391,-0.00974555,-0.0214324
12.6734,-0.0462786,-0.0447505,-0.00764051,-0.00976564,-0.00831804
12.6754,-0.0465718,-0.0447699,-0.00900948,-0.00969366,-0.015516
12.6774,-0.0475703,-0.0447893,-0.013905,-0.00967302,-0.0401391
12.6794,-0.0465952,-0.0448089,-0.0089317,-0.00982502,-0.0145036
12.6814,-0.0473224,-0.0448285,-0.0124693,-0.00979554,-0.0323658
12.6834,-0.0465107,-0.0448483,-0.00831196,-0.0098915,-0.0110835
12.6854,-0.0473908,-0.044868,-0.0126144,-0.00983719,-0.0328948
12.6874,-0.0472407,-0.0448878,-0.0117645,-0.0099363,-0.0281681
12.6894,-0.0467122,-0.0449078,-0.00902174,-0.010001,-0.0141212
12.6914,-0.0467185,-0.0449278,-0.00895381,-0.00996649,-0.0139439
12.6934,-0.046704,-0.0449476,-0.00878204,-0.00993121,-0.0132499
12.6954,-0.0471558,-0.0449674,-0.010942,-0.00989154,-0.0242585
12.6974,-0.0470154,-0.0449873,-0.0101409,-0.00992947,-0.0200654
12.6994,-0.046668,-0.0450071,-0.00830406,-0.00993753,-0.0108247
12.7014,-0.0468164,-0.0450269,-0.00894764,-0.0098808,-0.0143169
12.7034,-0.0474324,-0.0450466,-0.0119288,-0.00984928,-0.0294012
12.7054,-0.046723,-0.0450665,-0.00828255,-0.00992376,-0.0107811
12.7074,-0.046757,-0.0450862,-0.00835408,-0.00986691,-0.0114078
12.7094,-0.0470336,-0.0451058,-0.00963885,-0.00981521,-0.0180885
