time,q_cmd,q_meas,elevator
9.2177,0.3,0.291069,0.555326
9.2197,0.3,0.291075,0.555338
9.2217,0.3,0.291081,0.555349
9.2237,0.3,0.291088,0.555361
9.2257,0.3,0.291094,0.555372
9.2277,0.3,0.2911,0.555383
9.2297,0.3,0.291107,0.555395
9.2317,0.3,0.291113,0.555406
9.2337,0.3,0.291119,0.555418
9.2357,0.3,0.291126,0.555429
9.2377,0.3,0.291132,0.555441
9.2397,0.3,0.291138,0.555452
9.2417,0.3,0.291145,0.555463
9.2437,0.3,0.291151,0.555475
9.2457,0.3,0.291157,0.555486
9.24769,0.3,0.291164,0.555497
9.24969,0.3,0.29117,0.555509
9.25169,0.3,0.291176,0.55552
9.25369,0.3,0.291183,0.555532
9.25569,0.3,0.291189,0.555543
9.25769,0.3,0.291195,0.555554
9.25969,0.3,0.291201,0.555565
9.26169,0.3,0.291208,0.555577
9.26369,0.3,0.291214,0.555588
9.26569,0.3,0.29122,0.555599
9.26769,0.3,0.291226,0.555611
9.26969,0.3,0.291233,0.555622
9.27169,0.3,0.291239,0.555633
9.27369,0.3,0.291245,0.555645
9.27569,0.3,0.291251,0.555656
9.27769,0.3,0.291258,0.555667
9.27969,0.3,0.291264,0.555678
9.28169,0.3,0.29127,0.55569
9.28369,0.3,0.291276,0.555701
9.28569,0.3,0.291283,0.555712
9.28769,0.3,0.291289,0.555723
9.28969,0.3,0.291295,0.555734
9.29169,0.3,0.291301,0.555746
9.29369,0.3,0.291307,0.555757
9.29569,0.3,0.291314,0.555768
9.29769,0.3,0.29132,0.555779
9.29969,0.3,0.291326,0.55579
9.30169,0.3,0.291332,0.555801
9.30369,0.3,0.291338,0.555813
9.30569,0.3,0.291345,0.555824
9.30769,0.3,0.291351,0.555835
9.30969,0.3,0.291357,0.555846
9.31169,0.3,0.291363,0.555857
9.31369,0.3,0.291369,0.555868
9.31569,0.3,0.291375,0.555879
9.31769,0.3,0.291382,0.55589
9.31969,0.3,0.291388,0.555901
9.32169,0.3,0.291394,0.555912
9.32369,0.3,0.2914,0.555924
9.32569,0.3,0.291406,0.555935
